bathrooms,bedrooms,has_photo,pets_allowed,price,square_feet,state,source
1.0,0.0,1,0,1390,107,VA,RentLingo
1.0,0.0,1,0,925,116,WA,RentLingo
1.0,0.0,1,0,2475,130,NY,Listanza
1.0,0.0,1,0,1495,138,CA,RentLingo
1.0,0.0,1,0,1695,190,CA,RentLingo
1.0,1.0,1,1,1560,200,NC,ListedBuy
1.0,1.0,1,1,1560,200,NC,RentDigs.com
1.0,1.0,1,0,1000,200,TX,RentLingo
1.0,1.0,1,0,950,200,CA,RentLingo
1.0,1.0,1,0,625,200,GA,RentLingo
1.0,1.0,1,0,600,200,NC,RentLingo
1.0,1.0,1,0,544,200,FL,RentLingo
1.0,1.0,1,0,450,200,AZ,RentLingo
1.0,1.0,1,0,750,215,FL,RentLingo
1.0,1.0,1,0,2000,219,AL,RentLingo
1.0,1.0,1,0,1400,219,CA,RentLingo
1.0,1.0,1,0,1095,219,MD,RentLingo
1.0,1.0,1,0,915,219,CO,RentLingo
1.0,1.0,1,0,900,219,MD,RentLingo
1.0,1.0,1,0,865,219,FL,RentLingo
1.0,1.0,1,0,725,219,CO,RentLingo
1.0,1.0,1,0,650,219,VA,RentLingo
1.0,1.0,1,0,650,219,GA,RentLingo
1.0,1.0,1,0,645,219,FL,RentLingo
1.0,1.0,1,0,595,219,NM,RentLingo
1.0,0.0,1,1,1195,223,WA,RentLingo
1.0,0.0,1,0,1150,225,WA,RentLingo
1.0,1.0,1,1,942,225,IL,RentLingo
1.0,0.0,1,1,1250,228,WA,RentLingo
1.0,1.0,1,0,800,230,NC,RentLingo
1.0,1.0,1,0,685,230,FL,RentLingo
1.0,1.0,1,1,525,230,TN,RentLingo
1.0,0.0,1,1,1095,231,WA,RentLingo
1.0,0.0,1,1,1695,232,CA,RentLingo
1.0,1.0,1,1,775,240,WA,RentLingo
1.0,0.0,1,1,1299,243,WA,RentLingo
1.0,1.0,1,1,705,245,AK,RentLingo
1.0,1.0,1,0,1800,250,CA,RentLingo
1.0,1.0,1,0,1600,250,CA,RentLingo
1.0,1.0,1,0,1500,250,CA,RentLingo
1.0,1.0,1,0,1330,250,CA,RentLingo
1.0,1.0,1,0,1310,250,CA,RentLingo
1.0,1.0,1,0,1300,250,CA,RentLingo
1.0,1.0,1,0,1295,250,CA,RentLingo
1.0,1.0,1,0,1255,250,CA,RentLingo
1.0,1.0,1,0,1250,250,WA,RentLingo
1.0,1.0,1,0,1250,250,CA,RentLingo
1.0,1.0,1,0,1200,250,CO,RentLingo
1.0,1.0,1,0,1200,250,CO,RentLingo
1.0,1.0,1,0,1175,250,CA,RentLingo
1.0,1.0,1,0,1155,250,CA,RentLingo
1.0,1.0,1,0,1150,250,MD,RentLingo
1.0,1.0,1,0,1145,250,MA,RentLingo
1.0,1.0,1,0,1135,250,CA,RentLingo
1.0,1.0,1,0,1115,250,CA,RentLingo
1.0,0.0,1,0,1095,250,IL,RentLingo
1.0,1.0,1,0,1090,250,VA,RentLingo
1.0,1.0,1,0,1075,250,IL,RentLingo
